,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
0,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,3.0,70,2.0,119.00,40.00,3
1,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,4,1.0,2.0,0,1.0,317.00,0.00,1
2,House,Entire home/apt,Real Bed,2,30,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,8,3.0,5.0,51,1.0,80.00,15.00,6
3,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,0,1.0,361.00,130.00,2
4,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,96,1.0,115.00,0.00,1
5,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,70,1.0,135.00,0.00,1
6,Apartment,Entire home/apt,Real Bed,4,20,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,3,1.0,699.00,0.00,1
7,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,6,3.0,3.0,0,1.0,140.00,0.00,1
8,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,5,3.0,3.0,0,1.5,933.00,0.00,1
9,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,2.0,2.0,0,1.0,380.00,0.00,1
10,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,1.0,2.0,22,1.0,400.00,0.00,1
11,House,Entire home/apt,Real Bed,2,1125,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,6,2.0,6.0,1,1.0,527.00,211.00,1
12,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,4,1.0,2.0,0,1.0,50.00,31.00,1
13,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,5,2.0,2.0,0,2.0,858.00,75.00,1
14,Hostel,Private room,Real Bed,1,1125,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,0,1.0,40.00,25.00,2
15,Apartment,Entire home/apt,Real Bed,7,180,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,12,1.0,40.00,0.00,2
16,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,1,1.0,966.00,0.00,1
